id,title,description,link,image_link,availability,price,brand,mpn,identifier_exists,google_product_category,product_type,condition,gender,age_group,color,size,shipping
BM-ART-27-2,"BahaMut Men Regular Fit Jeans - Art 28 (Wash 1)","BahaMut Men Regular Fit Jeans (Art 28, Wash 1). Crafted from 100% Ring-Spun Woven Cotton Denim engineered at Ahmedabad textile mills. Billed & fulfilled by DE VIBE, Ambawadi, Ahmedabad (GSTIN: 24ASHPS9777R1ZE). HSN 62034290.","https://bahamut.in/product/bm-art-28-1","https://bahamut.in/images/products/bm-art-28-1.jpg",in_stock,1499.00 INR,BahaMut,BM-ART-27-2,no,1604,"Apparel & Accessories > Clothing > Pants > Jeans",new,male,adult,Indigo Denim,"28, 30, 32",IN:::0.00 INR
BM-ART-28-1,"BahaMut Men Regular Fit Jeans - Art 29 (Wash 1)","BahaMut Men Regular Fit Jeans (Art 29, Wash 1). Crafted from 100% Ring-Spun Woven Cotton Denim engineered at Ahmedabad textile mills. Billed & fulfilled by DE VIBE, Ambawadi, Ahmedabad (GSTIN: 24ASHPS9777R1ZE). HSN 62034290.","https://bahamut.in/product/bm-art-29-1","https://bahamut.in/images/products/bahamut-28-2-lycra.jpg",in_stock,1499.00 INR,BahaMut,BM-ART-28-1,no,1604,"Apparel & Accessories > Clothing > Pants > Jeans",new,male,adult,Indigo Denim,"30",IN:::0.00 INR
BM-ART-29-1,"BahaMut Men Regular Fit Jeans - Art 29 (Wash 2)","BahaMut Men Regular Fit Jeans (Art 29, Wash 2). Crafted from 100% Ring-Spun Woven Cotton Denim engineered at Ahmedabad textile mills. Billed & fulfilled by DE VIBE, Ambawadi, Ahmedabad (GSTIN: 24ASHPS9777R1ZE). HSN 62034290.","https://bahamut.in/product/bm-art-29-2","https://bahamut.in/images/products/bahamut-25-white-denim.jpg",in_stock,1499.00 INR,BahaMut,BM-ART-29-1,no,1604,"Apparel & Accessories > Clothing > Pants > Jeans",new,male,adult,Indigo Denim,"28, 30",IN:::0.00 INR
BM-ART-29-2,"BahaMut Men Regular Fit Jeans - Art 30 (Wash 1)","BahaMut Men Regular Fit Jeans (Art 30, Wash 1). Crafted from 100% Ring-Spun Woven Cotton Denim engineered at Ahmedabad textile mills. Billed & fulfilled by DE VIBE, Ambawadi, Ahmedabad (GSTIN: 24ASHPS9777R1ZE). HSN 62034290.","https://bahamut.in/product/bm-art-30-1","https://bahamut.in/images/products/ahmedabad-woven-chambray-navy-1.png",in_stock,1499.00 INR,BahaMut,BM-ART-29-2,no,1604,"Apparel & Accessories > Clothing > Pants > Jeans",new,male,adult,Indigo Denim,"32, 38",IN:::0.00 INR
BM-ART-30-1,"BahaMut Men Regular Fit Jeans - Art 31 (Wash 1)","BahaMut Men Regular Fit Jeans (Art 31, Wash 1). Crafted from 100% Ring-Spun Woven Cotton Denim engineered at Ahmedabad textile mills. Billed & fulfilled by DE VIBE, Ambawadi, Ahmedabad (GSTIN: 24ASHPS9777R1ZE). HSN 62034290.","https://bahamut.in/product/bm-art-31-1","https://bahamut.in/images/products/bm-art-31-1.jpg",in_stock,1499.00 INR,BahaMut,BM-ART-30-1,no,1604,"Apparel & Accessories > Clothing > Pants > Jeans",new,male,adult,Indigo Denim,"28, 30, 32, 34, 36",IN:::0.00 INR
BM-ART-31-1,"BahaMut Men Regular Fit Jeans - Art 31 (Wash 2)","BahaMut Men Regular Fit Jeans (Art 31, Wash 2). Crafted from 100% Ring-Spun Woven Cotton Denim engineered at Ahmedabad textile mills. Billed & fulfilled by DE VIBE, Ambawadi, Ahmedabad (GSTIN: 24ASHPS9777R1ZE). HSN 62034290.","https://bahamut.in/product/bm-art-31-2","https://bahamut.in/images/products/bm-art-31-2.jpg",in_stock,1499.00 INR,BahaMut,BM-ART-31-1,no,1604,"Apparel & Accessories > Clothing > Pants > Jeans",new,male,adult,Indigo Denim,"32, 36",IN:::0.00 INR
BM-ART-31-2,"BahaMut Men Regular Fit Jeans - Art 32 (Wash 1)","BahaMut Men Regular Fit Jeans (Art 32, Wash 1). Crafted from 100% Ring-Spun Woven Cotton Denim engineered at Ahmedabad textile mills. Billed & fulfilled by DE VIBE, Ambawadi, Ahmedabad (GSTIN: 24ASHPS9777R1ZE). HSN 62034290.","https://bahamut.in/product/bm-art-32-1","https://bahamut.in/images/products/cyber-street-graffiti-oversized-tee-1.png",in_stock,1499.00 INR,BahaMut,BM-ART-31-2,no,1604,"Apparel & Accessories > Clothing > Pants > Jeans",new,male,adult,Indigo Denim,"28, 30, 32, 34, 36",IN:::0.00 INR
BM-ART-32-1,"BahaMut Men Regular Fit Jeans - Art 33 (Wash 1)","BahaMut Men Regular Fit Jeans (Art 33, Wash 1). Crafted from 100% Ring-Spun Woven Cotton Denim engineered at Ahmedabad textile mills. Billed & fulfilled by DE VIBE, Ambawadi, Ahmedabad (GSTIN: 24ASHPS9777R1ZE). HSN 62034290.","https://bahamut.in/product/bm-art-33-1","https://bahamut.in/images/products/bm-art-21-1.jpg",in_stock,1499.00 INR,BahaMut,BM-ART-32-1,no,1604,"Apparel & Accessories > Clothing > Pants > Jeans",new,male,adult,Indigo Denim,"28, 30, 32, 34, 36",IN:::0.00 INR
BM-ART-33-1,"BahaMut Men Regular Fit Jeans - Art 33 (Wash 2)","BahaMut Men Regular Fit Jeans (Art 33, Wash 2). Crafted from 100% Ring-Spun Woven Cotton Denim engineered at Ahmedabad textile mills. Billed & fulfilled by DE VIBE, Ambawadi, Ahmedabad (GSTIN: 24ASHPS9777R1ZE). HSN 62034290.","https://bahamut.in/product/bm-art-33-2","https://bahamut.in/images/products/bm-art-21-2.jpg",in_stock,1499.00 INR,BahaMut,BM-ART-33-1,no,1604,"Apparel & Accessories > Clothing > Pants > Jeans",new,male,adult,Indigo Denim,"30, 32, 34, 36",IN:::0.00 INR
BM-ART-33-2,"BahaMut Men Regular Fit Jeans - Art 34 (Wash 1)","BahaMut Men Regular Fit Jeans (Art 34, Wash 1). Crafted from 100% Ring-Spun Woven Cotton Denim engineered at Ahmedabad textile mills. Billed & fulfilled by DE VIBE, Ambawadi, Ahmedabad (GSTIN: 24ASHPS9777R1ZE). HSN 62034290.","https://bahamut.in/product/bm-art-34-1","https://bahamut.in/images/products/bm-art-21-3.jpg",in_stock,1499.00 INR,BahaMut,BM-ART-33-2,no,1604,"Apparel & Accessories > Clothing > Pants > Jeans",new,male,adult,Indigo Denim,"30, 32, 34, 36, 38",IN:::0.00 INR
BM-ART-34-1,"BahaMut Men Regular Fit Jeans - Art 34 (Wash 2)","BahaMut Men Regular Fit Jeans (Art 34, Wash 2). Crafted from 100% Ring-Spun Woven Cotton Denim engineered at Ahmedabad textile mills. Billed & fulfilled by DE VIBE, Ambawadi, Ahmedabad (GSTIN: 24ASHPS9777R1ZE). HSN 62034290.","https://bahamut.in/product/bm-art-34-2","https://bahamut.in/images/products/bm-art-22-2.jpg",in_stock,1499.00 INR,BahaMut,BM-ART-34-1,no,1604,"Apparel & Accessories > Clothing > Pants > Jeans",new,male,adult,Indigo Denim,"30, 32, 34, 36, 38",IN:::0.00 INR
BM-ART-34-2,"BahaMut Men Regular Fit Jeans - Art 35 (Wash 1)","BahaMut Men Regular Fit Jeans (Art 35, Wash 1). Crafted from 100% Ring-Spun Woven Cotton Denim engineered at Ahmedabad textile mills. Billed & fulfilled by DE VIBE, Ambawadi, Ahmedabad (GSTIN: 24ASHPS9777R1ZE). HSN 62034290.","https://bahamut.in/product/bm-art-35-1","https://bahamut.in/images/products/blood-flame-oversized-hoodie-1.png",in_stock,1499.00 INR,BahaMut,BM-ART-34-2,no,1604,"Apparel & Accessories > Clothing > Pants > Jeans",new,male,adult,Indigo Denim,"28, 30, 32, 34, 36",IN:::0.00 INR
